UF de notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
11 Rondônia;2;2;6;3;7;5;7;3;2;3;2;4;46
12 Acre;7;4;13;12;7;6;4;6;5;10;6;3;83
13 Amazonas;17;16;29;28;16;26;21;15;20;17;14;24;243
14 Roraima;2;4;5;6;4;4;5;5;6;2;4;4;51
15 Pará;51;55;57;64;55;50;58;50;62;61;44;40;647
16 Amapá;4;2;1;-;-;3;-;-;3;1;1;1;16
17 Tocantins;11;3;6;9;9;4;6;4;4;1;1;5;63
21 Maranhão;7;7;8;11;9;8;9;10;6;12;5;2;94
22 Piauí;10;16;7;8;7;7;10;6;6;8;17;7;109
23 Ceará;84;101;84;82;97;88;98;81;97;107;71;84;1074
24 Rio Grande do Norte;26;31;27;36;33;24;26;15;33;31;32;27;341
25 Paraíba;27;24;13;31;23;17;22;15;22;18;24;19;255
26 Pernambuco;63;62;48;60;62;59;75;67;46;64;53;60;719
27 Alagoas;21;17;14;15;18;17;21;10;20;20;13;17;203
28 Sergipe;10;15;7;10;13;11;13;13;11;10;9;13;135
29 Bahia;98;75;74;80;68;70;87;65;90;103;74;73;957
31 Minas Gerais;18;19;24;23;20;16;27;28;24;13;21;16;249
32 Espírito Santo;3;2;1;4;3;2;8;3;1;7;8;1;43
33 Rio de Janeiro;1;7;2;5;6;3;8;4;6;8;8;7;65
35 São Paulo;87;85;94;78;90;72;102;94;89;89;74;69;1023
41 Paraná;7;7;9;15;10;9;9;14;13;7;11;4;115
42 Santa Catarina;-;2;4;2;2;-;3;1;2;1;1;1;19
43 Rio Grande do Sul;1;5;7;2;7;2;6;9;5;8;4;5;61
50 Mato Grosso do Sul;7;8;7;5;9;6;7;11;6;8;5;3;82
51 Mato Grosso;10;14;5;3;8;12;14;7;7;12;15;9;116
52 Goiás;1;3;3;7;3;3;1;8;5;8;3;4;49
53 Distrito Federal;-;1;-;2;-;-;-;-;-;-;-;-;3
Total;575;587;555;601;586;524;647;544;591;629;520;502;6861
