UF de notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
11 Rondônia;77;54;71;42;41;37;45;44;53;47;51;42;604
12 Acre;54;37;60;63;41;32;66;59;55;54;40;45;606
13 Amazonas;386;307;381;222;209;295;294;300;306;285;280;272;3537
14 Roraima;39;35;33;22;21;25;31;27;26;28;21;25;333
15 Pará;496;428;468;329;342;420;431;410;442;392;427;332;4917
16 Amapá;22;23;39;16;19;24;47;27;32;25;22;29;325
17 Tocantins;14;19;22;20;20;15;16;13;14;23;18;13;207
21 Maranhão;271;235;252;160;143;182;192;220;220;247;209;179;2510
22 Piauí;87;74;73;71;36;45;55;61;55;67;69;64;757
23 Ceará;370;331;352;260;225;298;366;313;339;366;309;280;3809
24 Rio Grande do Norte;129;118;136;126;110;100;143;181;149;140;183;132;1647
25 Paraíba;104;110;121;70;58;78;83;78;101;122;90;118;1133
26 Pernambuco;570;489;552;439;340;397;480;444;500;457;442;401;5511
27 Alagoas;126;101;121;50;50;72;86;96;94;79;92;75;1042
28 Sergipe;94;79;69;55;90;49;65;63;75;80;89;62;870
29 Bahia;443;440;504;341;274;334;379;359;391;347;423;368;4603
31 Minas Gerais;427;384;372;301;312;337;308;320;309;319;301;291;3981
32 Espírito Santo;152;148;160;125;107;153;159;126;176;173;172;120;1771
33 Rio de Janeiro;1371;1071;1347;912;860;1059;1230;1178;1179;1240;1029;915;13391
35 São Paulo;2062;1640;2020;1405;1300;1406;1539;1599;1771;1750;1593;1571;19656
41 Paraná;243;208;268;192;207;211;233;228;203;211;188;196;2588
42 Santa Catarina;178;133;150;139;116;127;120;137;154;164;138;140;1696
43 Rio Grande do Sul;662;613;668;515;538;503;509;482;540;547;462;505;6544
50 Mato Grosso do Sul;132;124;163;107;78;97;102;105;127;121;102;83;1341
51 Mato Grosso;127;116;137;134;97;84;71;104;110;89;114;96;1279
52 Goiás;116;105;107;96;96;76;81;80;75;77;87;101;1097
53 Distrito Federal;39;42;38;52;22;30;33;27;26;35;35;32;411
Total;8791;7464;8684;6264;5752;6486;7164;7081;7522;7485;6986;6487;86166
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
