UF Residência;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
TOTAL;34.942;39.398;38.185;38.355;38.230;37.643;38.712;41.225;41.192;40.775;42.772;42.480;43.368;42.135;40.995;39.425;38.535;38.040;37.308;11.880;765.595
Rondônia;154;202;212;213;238;295;303;294;278;309;378;381;451;419;365;330;376;333;317;148;5.996
Acre;30;46;32;57;56;35;60;62;41;63;75;69;68;71;60;70;73;107;84;19;1.178
Amazonas;369;456;413;554;636;682;720;959;1.077;1.138;1.094;1.096;1.399;1.531;1.210;1.202;1.077;1.187;1.442;482;18.724
Roraima;54;36;99;114;72;75;121;165;151;173;148;137;159;147;158;185;182;238;243;57;2.714
Pará;530;630;698;993;922;928;1.117;1.400;1.391;1.508;1.411;1.535;1.872;1.997;2.209;2.290;2.004;2.287;2.356;571;28.649
Amapá;50;75;51;66;75;92;115;113;115;124;155;161;206;178;147;228;241;223;189;63;2.667
Tocantins;64;84;87;102;88;112;92;132;155;146;191;197;254;215;224;200;251;233;168;75;3.070
Maranhão;350;395;492;730;686;731;794;880;1.065;1.083;1.252;1.212;1.389;1.353;1.516;1.388;1.487;1.395;1.295;315;19.808
Piauí;163;192;192;332;341;268;324;339;409;385;377;486;491;493;417;426;425;395;439;130;7.024
Ceará;633;755;806;963;835;846;1.116;1.118;1.183;1.114;1.212;1.377;1.304;1.311;1.363;1.338;1.263;1.348;1.360;373;21.618
Rio Grande do Norte;173;170;201;152;365;285;357;361;411;380;427;453;547;564;501;518;656;739;603;210;8.073
Paraíba;244;308;302;357;360;339;361;412;423;442;445;496;494;526;567;455;562;564;607;172;8.436
Pernambuco;946;1.240;1.162;1.298;1.695;1.511;1.628;1.662;1.603;1.839;1.784;1.973;2.050;2.021;1.864;1.909;1.851;1.872;1.833;534;32.275
Alagoas;218;236;261;224;302;270;322;404;387;389;446;442;448;448;448;514;616;601;556;174;7.706
Sergipe;94;130;163;161;183;198;239;316;262;284;317;272;325;313;396;372;370;400;370;149;5.314
Bahia;918;1.342;1.255;1.383;1.376;1.382;1.533;1.725;1.838;1.899;1.958;1.975;2.146;1.961;1.965;1.933;1.865;1.915;1.917;599;32.885
Minas Gerais;2.185;3.232;3.002;3.091;3.109;2.916;3.005;3.097;2.927;2.864;3.071;3.018;2.934;2.954;2.961;2.720;2.660;2.495;2.370;851;55.462
Espírito Santo;550;768;737;733;718;672;683;761;819;872;825;916;842;884;801;709;656;665;710;249;14.570
Rio de Janeiro;4.491;5.730;5.350;5.785;5.471;5.366;5.276;5.039;5.614;5.386;5.511;5.230;5.245;5.035;4.796;4.543;4.456;4.200;4.028;1.169;97.721
São Paulo;13.943;11.882;11.364;10.595;10.664;9.954;8.982;9.559;9.394;8.904;9.315;8.724;8.422;8.007;7.727;7.647;7.301;7.003;6.467;2.294;178.148
Paraná;1.676;2.248;2.061;1.835;1.802;1.806;1.953;2.794;2.084;1.967;2.149;2.145;2.168;2.142;2.168;1.901;1.979;1.931;1.823;578;39.210
Santa Catarina;1.830;2.468;2.264;2.173;1.913;2.291;2.085;2.207;2.260;2.251;2.633;2.380;2.322;2.169;2.357;2.126;1.896;1.886;1.796;615;41.922
Rio Grande do Sul;3.523;4.356;4.471;4.043;4.020;4.329;5.139;4.926;4.727;4.634;4.749;4.776;4.746;4.436;3.988;3.685;3.418;3.167;3.224;1.011;81.368
Mato Grosso do Sul;302;465;447;450;397;423;440;556;514;517;488;675;676;584;556;543;656;637;673;225;10.224
Mato Grosso;358;556;599;612;600;559;672;683;655;659;744;667;691;829;665;704;765;753;874;285;12.930
Goiás;754;833;811;819;803;791;814;785;900;937;991;1.077;1.056;990;1.043;999;1.008;1.044;1.119;371;17.945
Distrito Federal;340;563;653;520;503;487;461;476;509;508;626;610;663;557;523;490;441;422;445;161;9.958
