UF de residência;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;68;55;62;56;43;52;41;51;63;40;55;67;72;87;64;94;74;97;123;19;1283
12 Acre;37;32;44;25;22;10;12;21;14;23;12;8;5;12;8;11;10;13;11;24;354
13 Amazonas;240;214;184;218;240;226;233;237;240;242;224;297;291;314;326;283;358;419;428;272;5486
14 Roraima;6;7;4;5;5;10;3;6;11;6;10;5;11;6;10;11;25;25;30;14;210
15 Pará;329;369;380;362;356;369;397;416;379;319;318;326;378;336;315;386;403;387;438;335;7298
16 Amapá;31;38;22;25;23;45;38;27;27;31;36;26;18;13;17;23;10;20;37;16;523
17 Tocantins;23;28;18;15;12;5;10;8;9;5;12;7;15;12;12;10;12;8;18;7;246
21 Maranhão;321;330;310;286;185;207;172;198;253;228;194;208;187;161;214;220;185;192;231;183;4465
22 Piauí;56;36;42;41;47;39;45;41;41;34;34;39;37;40;22;23;26;34;30;17;724
23 Ceará;220;223;273;276;295;263;288;328;347;345;413;360;396;445;363;409;396;409;399;236;6684
24 Rio Grande do Norte;119;119;104;114;100;124;84;93;89;62;77;63;90;75;82;89;116;84;94;62;1840
25 Paraíba;130;91;83;98;98;76;104;152;105;117;138;152;154;102;71;73;121;106;89;54;2114
26 Pernambuco;541;453;467;461;461;338;390;493;468;574;517;548;506;443;395;341;444;418;369;244;8871
27 Alagoas;124;113;114;126;118;104;99;130;124;133;108;136;120;99;80;94;100;73;66;34;2095
28 Sergipe;44;30;31;52;44;57;68;78;55;50;45;61;83;80;66;74;88;95;67;41;1209
29 Bahia;48;339;499;508;450;426;399;393;415;397;350;397;405;358;317;381;364;349;370;156;7321
31 Minas Gerais;179;511;528;501;445;601;480;487;487;416;465;463;470;447;292;253;292;263;301;153;8034
32 Espírito Santo;86;60;57;64;71;91;68;79;98;101;92;107;95;91;79;84;90;115;124;-;1652
33 Rio de Janeiro;1555;1317;1381;1413;1373;1393;1474;1401;1651;1420;1285;1338;1351;1244;1165;1331;1423;1708;1818;801;27842
35 São Paulo;2000;1787;1570;1386;1488;1494;1473;1575;1569;1547;1544;1418;1617;1676;1554;1495;1834;1822;1922;1383;32154
41 Paraná;265;201;211;211;177;173;198;230;205;189;148;168;182;134;107;111;104;145;130;107;3396
42 Santa Catarina;136;117;136;147;106;89;113;140;132;127;142;159;166;151;110;148;145;173;119;54;2610
43 Rio Grande do Sul;372;428;466;409;403;345;450;511;620;635;757;691;787;729;535;480;547;659;672;379;10875
50 Mato Grosso do Sul;93;83;83;66;55;44;66;69;81;69;69;86;82;84;124;111;105;145;140;101;1756
51 Mato Grosso;105;83;96;98;94;79;49;84;77;120;102;125;153;135;117;93;115;89;97;50;1961
52 Goiás;101;104;106;96;85;82;75;66;76;68;75;96;101;81;109;101;130;125;113;82;1872
53 Distrito Federal;24;21;22;14;20;15;9;12;7;8;13;17;16;25;16;24;28;32;29;11;363
