UF de residência;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;11;17;30;16;21;13;33;28;23;32;43;48;50;51;48;59;62;32;46;29;692
12 Acre;1;3;3;5;3;2;4;7;10;5;10;11;8;9;5;6;11;3;10;4;120
13 Amazonas;45;110;51;74;109;101;134;198;215;260;237;280;350;397;377;367;406;344;354;289;4698
14 Roraima;4;7;12;12;9;7;3;11;7;13;14;12;22;9;18;12;18;12;19;24;245
15 Pará;71;101;147;111;117;125;129;190;213;238;241;223;264;278;284;273;324;303;377;309;4318
16 Amapá;1;5;7;4;3;4;6;5;3;8;7;14;11;10;10;17;19;13;22;10;179
17 Tocantins;6;5;7;2;6;10;6;1;14;10;7;8;11;11;11;10;8;10;10;15;168
21 Maranhão;31;43;44;47;66;62;82;82;81;108;122;136;125;140;131;132;158;160;172;152;2074
22 Piauí;8;10;18;11;15;29;26;33;15;34;34;43;35;40;23;49;45;53;39;38;598
23 Ceará;50;33;76;106;94;89;122;124;165;162;211;207;190;189;211;224;200;187;233;214;3087
24 Rio Grande do Norte;30;28;19;32;31;32;38;49;43;66;74;114;99;101;80;57;111;112;111;82;1309
25 Paraíba;25;20;26;41;46;33;61;60;62;67;70;77;74;65;74;58;74;76;62;61;1132
26 Pernambuco;111;65;214;223;227;237;292;350;337;379;445;464;472;452;365;389;369;389;335;247;6362
27 Alagoas;18;15;16;13;20;26;43;54;75;62;54;76;86;78;66;99;95;99;83;53;1131
28 Sergipe;6;8;16;23;22;20;18;25;22;24;30;24;35;29;26;29;30;56;34;37;514
29 Bahia;6;65;123;146;143;153;148;156;202;249;230;216;242;237;247;234;222;243;236;197;3695
31 Minas Gerais;101;266;309;317;326;323;379;326;327;262;325;308;340;339;279;272;284;289;293;256;5921
32 Espírito Santo;79;53;66;72;61;76;79;78;76;73;71;77;81;80;90;64;62;81;67;73;1459
33 Rio de Janeiro;560;602;697;848;758;719;872;850;932;876;886;873;793;873;885;858;950;935;850;739;16356
35 São Paulo;1859;1948;1763;1619;1667;1656;1627;1646;1540;1622;1544;1434;1308;1345;1291;1228;1290;1302;1183;1042;29914
41 Paraná;209;222;233;232;246;206;231;259;239;273;224;254;249;260;251;237;194;206;187;179;4591
42 Santa Catarina;171;223;237;227;239;251;259;287;308;310;349;302;318;302;283;276;280;229;224;177;5252
43 Rio Grande do Sul;503;736;731;718;654;631;735;774;783;872;877;861;850;824;846;747;739;749;717;616;14963
50 Mato Grosso do Sul;13;44;45;53;57;49;64;74;98;68;64;95;81;81;61;68;74;93;109;95;1386
51 Mato Grosso;21;31;53;46;64;57;71;72;74;94;82;64;72;70;82;110;108;96;79;70;1416
52 Goiás;41;59;46;43;37;52;65;63;71;79;83;101;87;76;108;81;99;80;47;79;1397
53 Distrito Federal;11;32;35;28;32;25;36;36;21;23;39;39;39;53;39;39;39;34;42;44;686
