"Unidade da Federação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"11 Rondônia";"114,36";"102,43";"97,42";"106,60";"109,69";"121,15";"114,13";"105,86";"107,64";"102,79";"105,79";"106,12";"108,15";"110,07";"110,77";"104,90";"97,81";"93,61";"88,11";"70,75";"51,84";"101,89"
"12 Acre";"134,96";"132,91";"121,07";"116,13";"110,46";"116,02";"122,55";"108,57";"109,37";"114,23";"109,63";"105,00";"106,16";"104,59";"105,90";"99,23";"96,83";"100,93";"93,86";"71,10";"40,27";"106,33"
"13 Amazonas";"108,31";"107,78";"109,89";"118,64";"130,49";"127,52";"125,35";"121,18";"120,83";"115,98";"117,27";"124,16";"116,92";"120,39";"110,79";"95,87";"93,82";"96,97";"93,27";"88,85";"68,97";"110,37"
"14 Roraima";"104,68";"116,91";"105,42";"97,50";"107,16";"115,45";"103,53";"95,06";"101,81";"113,21";"115,06";"118,08";"94,17";"103,97";"110,55";"107,95";"116,74";"135,55";"115,88";"98,12";"61,99";"106,55"
"15 Pará";"118,34";"127,04";"122,87";"128,59";"146,91";"140,16";"136,53";"127,68";"128,81";"124,65";"120,12";"113,62";"117,68";"114,80";"94,87";"81,62";"85,83";"87,65";"83,06";"68,83";"45,55";"111,64"
"16 Amapá";"181,41";"129,05";"123,55";"121,20";"123,56";"121,68";"113,26";"115,66";"115,77";"115,69";"111,74";"105,80";"117,07";"118,80";"121,56";"113,86";"93,89";"102,95";"100,27";"87,62";"29,32";"113,18"
"17 Tocantins";"122,08";"113,06";"102,09";"109,27";"110,81";"111,61";"109,12";"107,30";"104,01";"100,84";"102,60";"98,29";"92,02";"103,00";"107,48";"99,23";"104,75";"104,06";"112,41";"89,70";"71,03";"104,11"
"21 Maranhão";"122,47";"118,94";"119,88";"129,81";"132,83";"138,46";"141,55";"134,02";"132,63";"125,32";"122,77";"114,07";"113,39";"108,16";"103,64";"90,11";"105,69";"105,11";"83,57";"64,06";"45,11";"113,83"
"22 Piauí";"116,52";"109,56";"101,91";"113,52";"108,98";"109,07";"107,05";"106,17";"104,48";"101,87";"100,07";"96,75";"96,50";"96,50";"86,27";"83,90";"93,94";"97,90";"82,58";"76,19";"59,40";"98,76"
"23 Ceará";"118,81";"110,69";"103,20";"115,70";"118,57";"110,12";"112,81";"107,02";"108,08";"106,60";"105,98";"103,02";"108,63";"107,40";"114,62";"108,82";"109,59";"104,89";"86,05";"66,18";"48,46";"104,57"
"24 Rio Grande do Norte";"107,28";"114,24";"113,32";"111,53";"112,21";"117,69";"113,38";"108,39";"110,28";"113,18";"119,20";"112,51";"109,15";"108,15";"105,90";"89,26";"67,22";"107,70";"85,29";"77,83";"53,17";"103,74"
"25 Paraíba";"121,52";"112,80";"109,52";"120,51";"125,97";"125,87";"124,46";"123,87";"118,19";"110,46";"113,41";"108,66";"112,35";"111,91";"105,73";"97,27";"104,00";"105,35";"94,90";"64,74";"42,86";"108,69"
"26 Pernambuco";"118,78";"123,86";"126,01";"121,69";"117,31";"116,60";"114,41";"113,27";"112,83";"107,59";"110,45";"106,89";"105,68";"108,55";"110,06";"98,90";"97,25";"106,53";"92,07";"76,36";"58,94";"107,94"
