UF de notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
11 Rondônia;1;2;4;2;7;3;7;3;2;3;2;4;40
12 Acre;6;2;6;8;5;4;1;5;3;5;4;2;51
13 Amazonas;12;13;18;18;10;21;14;13;11;13;12;15;170
14 Roraima;-;1;2;4;-;1;1;4;2;1;1;1;18
15 Pará;46;51;55;57;52;46;52;44;51;59;37;36;586
16 Amapá;3;-;-;-;-;1;-;-;1;1;1;1;8
17 Tocantins;6;2;5;6;4;2;6;2;3;-;1;4;41
21 Maranhão;6;5;8;7;5;1;9;6;6;6;5;2;66
22 Piauí;4;15;6;6;7;6;8;5;6;8;11;5;87
23 Ceará;75;93;78;71;83;72;85;66;80;94;61;77;935
24 Rio Grande do Norte;21;21;19;29;29;18;22;14;28;21;26;23;271
25 Paraíba;19;15;6;18;15;11;13;8;13;12;13;14;157
26 Pernambuco;50;51;38;56;49;44;68;54;39;46;42;49;586
27 Alagoas;17;12;11;11;11;15;14;7;18;16;11;14;157
28 Sergipe;7;11;1;8;10;10;7;12;8;7;7;11;99
29 Bahia;85;68;70;77;65;62;74;57;80;90;68;65;861
31 Minas Gerais;13;16;21;22;20;13;24;25;20;10;19;15;218
32 Espírito Santo;3;1;1;3;3;2;5;2;1;4;7;1;33
33 Rio de Janeiro;1;6;2;5;4;2;7;4;5;8;8;6;58
35 São Paulo;75;66;80;63;75;61;88;80;80;79;57;59;863
41 Paraná;6;7;6;14;9;5;8;11;10;6;11;2;95
42 Santa Catarina;-;2;4;2;2;-;3;1;2;1;1;1;19
43 Rio Grande do Sul;1;4;6;2;6;1;6;7;3;6;4;4;50
50 Mato Grosso do Sul;6;8;7;5;8;6;7;10;6;5;4;3;75
51 Mato Grosso;5;11;5;2;4;12;9;5;5;10;12;8;88
52 Goiás;-;3;2;6;3;1;1;7;3;7;3;4;40
Total;468;486;461;502;486;420;539;452;486;518;428;426;5672
