UF de notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
11 Rondônia;49;73;56;72;63;51;60;62;66;44;45;48;689
12 Acre;39;49;50;57;52;43;40;29;30;47;37;31;504
13 Amazonas;339;307;299;360;365;244;309;288;273;310;311;286;3691
14 Roraima;23;24;24;26;27;18;15;20;26;27;13;28;271
15 Pará;343;408;405;400;494;411;453;404;423;419;380;319;4859
16 Amapá;26;26;26;32;25;27;36;41;28;28;25;13;333
17 Tocantins;5;9;8;14;19;16;18;11;21;23;16;8;168
21 Maranhão;208;223;224;210;259;208;238;213;231;205;193;157;2569
22 Piauí;60;62;49;78;66;52;67;66;51;71;69;66;757
23 Ceará;271;299;238;306;286;286;312;323;288;290;281;277;3457
24 Rio Grande do Norte;94;89;68;96;91;107;90;107;92;66;66;110;1076
25 Paraíba;95;111;83;127;113;94;104;116;98;92;90;80;1203
26 Pernambuco;453;454;376;468;473;414;439;471;480;499;455;438;5420
27 Alagoas;89;99;87;120;95;67;83;90;66;99;86;96;1077
28 Sergipe;91;69;63;87;86;68;71;88;63;70;64;66;886
29 Bahia;424;375;361;443;388;343;426;387;388;443;367;340;4685
31 Minas Gerais;331;329;330;347;354;338;301;366;361;399;342;301;4099
32 Espírito Santo;134;105;106;113;143;130;108;141;116;114;128;125;1463
33 Rio de Janeiro;1376;1224;1178;1156;1342;1218;1356;1223;1265;1306;1159;1098;14901
35 São Paulo;1863;1644;1727;1755;1740;1520;1813;1771;1856;1916;1600;1631;20836
41 Paraná;222;194;204;256;193;192;205;234;191;236;223;203;2553
42 Santa Catarina;227;179;186;191;162;154;207;203;181;185;201;160;2236
43 Rio Grande do Sul;667;540;530;608;624;544;630;704;646;727;639;606;7465
50 Mato Grosso do Sul;114;89;104;124;115;117;128;110;90;129;110;102;1332
51 Mato Grosso;125;112;122;102;126;109;144;122;118;126;93;99;1398
52 Goiás;125;82;101;109;103;70;101;93;87;101;80;75;1127
53 Distrito Federal;40;26;34;37;39;37;44;46;51;42;43;41;480
Total;7833;7201;7039;7694;7843;6878;7798;7729;7586;8014;7116;6804;89535
