UF de notificação;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;92;78;72;63;51;63;61;72;91;69;79;95;101;128;113;156;130;144;173;38;1869
12 Acre;40;40;58;35;25;12;17;22;18;28;15;11;6;13;11;17;13;14;14;27;436
13 Amazonas;262;251;234;288;301;279;301;318;295;318;318;416;408;436;465;394;500;606;625;407;7422
14 Roraima;8;8;6;5;5;10;5;7;14;8;11;7;16;10;13;12;28;32;34;17;256
15 Pará;451;477;488;466;455;468;501;544;505;438;418;435;484;441;439;506;531;527;593;476;9643
16 Amapá;36;46;35;31;24;53;46;34;33;38;42;38;25;20;20;35;16;26;49;19;666
17 Tocantins;35;41;35;20;11;9;11;10;14;7;13;7;18;12;18;15;14;13;23;6;332
21 Maranhão;405;404;396;358;249;266;248;257;329;313;274;288;258;237;292;311;269;285;323;259;6021
22 Piauí;75;71;58;63;64;60;61;58;56;48;54;46;53;51;44;36;37;53;52;21;1061
23 Ceará;310;358;424;376;386;374;406;455;513;487;554;534;569;624;583;640;617;663;650;405;9928
24 Rio Grande do Norte;140;139;161;158;149;191;121;135;141;99;125;117;138;124;127;137;156;125;140;94;2717
25 Paraíba;171;117;107;138;128;91;142;215;154;197;228;244;261;186;130;150;188;179;145;88;3259
26 Pernambuco;750;627;645;649;626;487;525;635;698;805;778;817;755;659;593;544;635;653;602;395;12878
27 Alagoas;182;161;159;181;174;146;141;181;202;185;170;201;168;141;122;141;150;132;113;66;3116
28 Sergipe;53;35;43;70;71;83;99;109;92;86;67;89;115;132;108;117;120;166;104;65;1824
29 Bahia;718;668;704;713;626;580;557;576;640;612;543;563;536;508;475;595;581;577;541;260;11573
31 Minas Gerais;245;700;684;684;602;808;696;669;671;615;676;672;666;635;479;444;442;409;454;236;11487
32 Espírito Santo;124;93;93;97;99;111;97;104;125;144;146;154;155;129;115;116;132;185;203;-;2422
33 Rio de Janeiro;2276;1939;1942;1934;1991;2015;2138;2050;2382;2153;2010;2050;2116;1907;1773;2015;2092;2504;2679;1293;41259
35 São Paulo;2821;2621;2297;2038;2045;2056;2030;2198;2170;2152;2157;2065;2380;2589;2363;2334;2680;2769;2902;2160;46827
41 Paraná;380;339;306;317;302;242;287;325;287;265;218;227;246;180;157;152;154;192;175;144;4895
42 Santa Catarina;242;178;198;228;175;132;165;221;200;195;230;232;238;222;193;224;228;270;188;83;4042
43 Rio Grande do Sul;543;615;642;589;587;521;650;778;934;991;1185;1218;1387;1301;957;851;934;1076;1109;658;17526
50 Mato Grosso do Sul;123;110;98;95;74;64;92;90;109;102;87;115;123;131;171;164;163;198;223;146;2478
51 Mato Grosso;137;102;120;123;124;102;70;112;111;166;138;170;210;185;170;136;170;119;133;68;2666
52 Goiás;142;154;151;132;122;114;112;102;108;109;111;157;165;121;143;144;193;173;161;118;2732
53 Distrito Federal;51;35;33;27;42;22;16;18;18;9;20;24;27;40;26;37;38;47;39;22;591
Total;10812;10407;10189;9878;9508;9359;9595;10295;10910;10639;10667;10992;11624;11162;10100;10423;11211;12137;12447;7571;209926
