UF de notificação;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;488;479;462;435;470;393;399;428;467;403;470;484;469;445;448;548;519;478;503;124;8912
12 Acre;305;282;252;276;260;338;271;266;320;287;349;363;364;423;308;403;454;436;523;364;6844
13 Amazonas;1844;1777;1711;1809;1683;1835;1828;1952;1973;2085;2041;2068;2252;2269;2362;2354;2586;2540;2679;1381;41029
14 Roraima;119;139;163;180;129;109;120;127;118;126;135;107;118;117;124;108;147;190;224;170;2770
15 Pará;2481;2750;2756;2966;2872;2827;2768;2711;2953;2960;3189;2823;3054;2900;2565;2844;3199;3331;3761;1741;57451
16 Amapá;145;182;167;173;169;158;190;179;177;163;195;193;175;157;155;182;232;198;247;114;3551
17 Tocantins;213;225;188;189;167;191;166;154;159;150;156;131;141;144;139;148;130;155;156;76;3178
21 Maranhão;2136;2278;2157;2162;2397;2199;2165;1935;1843;1803;1883;1541;1692;1535;1569;1678;1728;1894;1819;901;37315
22 Piauí;1010;914;954;906;944;881;853;774;699;682;712;606;666;603;534;576;564;595;493;175;14141
23 Ceará;3030;2625;3165;3163;3412;3201;3199;3357;3340;3107;3093;2925;2792;2536;2623;2707;2849;2924;2540;1100;57688
24 Rio Grande do Norte;882;904;883;905;895;822;789;842;807;714;842;737;833;803;738;766;843;1034;868;546;16453
25 Paraíba;986;996;1097;1027;1069;907;855;849;868;861;899;923;935;826;472;763;740;821;659;251;16804
26 Pernambuco;2839;3122;3249;3513;3486;3356;3285;3303;3191;3278;3419;3517;3382;3418;3560;3528;3813;3737;3816;1865;66677
27 Alagoas;987;959;1021;1030;1136;1059;1064;1021;983;928;910;849;874;833;699;755;722;767;715;264;17576
28 Sergipe;417;461;509;454;582;529;439;509;483;475;516;445;500;534;531;520;566;661;742;340;10213
29 Bahia;4957;5049;5442;5722;5545;5164;4816;4808;4798;4333;4411;3919;3911;3820;3534;3462;3570;3591;3250;1259;85361
31 Minas Gerais;886;4235;4211;4166;4259;4029;3992;3895;3601;3241;3385;3035;2999;2926;2695;2788;2812;2951;2919;1160;64185
32 Espírito Santo;1197;1233;1203;1182;1166;1062;1126;1243;1113;1137;1137;1089;1019;996;1059;922;979;1049;911;-;20823
33 Rio de Janeiro;8296;7868;8902;8506;9463;9179;8652;8978;9091;8766;9254;8925;8676;8708;8453;8931;8844;9272;9211;3696;171671
35 São Paulo;13726;13997;14235;14167;13945;13549;13236;14108;13453;14153;14952;14769;15289;15272;15760;16079;17086;16981;16238;9178;290173
41 Paraná;2292;2497;2432;2180;2365;2039;2203;2176;2085;2078;2119;1925;1965;1925;1846;1773;1686;1923;1824;986;40319
42 Santa Catarina;1140;1325;1379;1376;1356;1393;1371;1420;1458;1541;1616;1642;1678;1608;1497;1492;1506;1490;1346;620;28254
43 Rio Grande do Sul;3448;3717;3938;4094;3839;3691;3764;3823;4017;3970;4002;3960;3886;3837;3672;3637;3862;3856;3957;1838;74808
50 Mato Grosso do Sul;716;617;746;711;769;674;707;750;740;667;729;694;718;624;592;699;700;1003;869;344;14069
51 Mato Grosso;1126;962;976;866;1027;1015;910;982;830;959;959;1078;1228;1220;987;934;892;917;973;367;19208
52 Goiás;751;764;806;680;722;654;637;667;699;711;677;689;746;683;753;670;748;771;741;362;13931
53 Distrito Federal;460;444;438;420;407;422;479;380;354;331;348;404;359;359;336;316;225;260;239;77;7058
00 Ignorado/exterior;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
Total;56877;60801;63442;63258;64534;61676;60284;61637;60620;59909;62398;59841;60721;59521;58011;59583;62002;63825;62224;29299;1190463
