UF de residência;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
11 Rondônia;58;38;46;25;35;32;33;32;41;40;46;35;461
12 Acre;46;33;51;53;34;30;60;50;51;50;31;40;529
13 Amazonas;301;252;303;174;157;225;228;231;241;221;204;211;2748
14 Roraima;34;33;30;17;18;23;30;24;24;25;18;22;298
15 Pará;408;355;383;278;293;335;367;331;354;331;354;283;4072
16 Amapá;19;16;35;15;16;19;40;22;27;22;11;22;264
17 Tocantins;14;16;20;16;17;15;12;10;12;18;15;15;180
21 Maranhão;224;192;210;134;104;148;160;185;182;204;177;142;2062
22 Piauí;67;66;57;60;30;42;44;52;42;55;56;49;620
23 Ceará;281;261;278;199;178;237;272;244;272;290;255;222;2989
24 Rio Grande do Norte;106;85;105;96;94;82;108;147;115;112;145;114;1309
25 Paraíba;77;88;81;54;44;60;64;59;76;99;64;85;851
26 Pernambuco;421;367;395;315;251;286;367;340;379;333;352;292;4098
27 Alagoas;91;74;94;43;35;57;63;79;72;57;77;60;802
28 Sergipe;82;61;48;46;73;41;51;53;59;67;77;56;714
29 Bahia;353;347;389;261;205;252;286;274;303;280;319;292;3561
31 Minas Gerais;348;306;307;241;255;271;258;255;250;258;250;243;3242
32 Espírito Santo;111;114;109;87;84;120;117;98;129;124;129;84;1306
33 Rio de Janeiro;1097;843;1045;690;653;785;973;866;954;984;800;735;10425
35 São Paulo;1649;1345;1652;1117;1053;1162;1235;1318;1438;1418;1316;1308;16011
41 Paraná;190;181;226;150;175;180;185;182;164;178;158;153;2122
42 Santa Catarina;136;104;121;115;95;101;90;120;118;126;106;111;1343
43 Rio Grande do Sul;474;426;464;360;363;345;357;341;377;364;316;337;4524
50 Mato Grosso do Sul;94;92;124;78;62;74;64;86;96;95;81;72;1018
51 Mato Grosso;105;96;92;103;80;72;61;86;98;79;99;77;1048
52 Goiás;98;89;80;75;74;64;65;66;59;71;77;87;905
53 Distrito Federal;30;27;32;38;14;24;22;18;22;24;23;26;300
00 Ignorado/exterior;5;3;-;1;2;3;7;3;4;5;4;4;41
Total;6919;5910;6777;4841;4494;5085;5619;5572;5959;5930;5560;5177;67843
