UF de notificação;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;5;160;171;175;145;106;119;118;144;98;110;122;127;126;132;115;142;107;90;66;2378
12 Acre;16;53;64;62;50;57;55;52;34;18;35;46;38;45;23;31;35;39;39;50;842
13 Amazonas;14;15;124;360;318;280;254;313;313;238;230;247;246;283;341;351;344;259;272;225;5027
14 Roraima;28;28;31;28;23;16;19;24;16;13;18;24;16;24;13;8;13;17;17;16;392
15 Pará;268;323;494;647;515;469;601;641;540;494;542;480;440;359;382;402;386;441;467;418;9309
16 Amapá;32;72;59;38;33;36;57;40;26;28;24;41;31;27;28;34;37;22;43;34;742
17 Tocantins;31;69;27;42;37;43;39;27;26;27;23;22;26;19;20;28;23;20;34;13;596
21 Maranhão;47;384;523;538;491;442;420;400;342;293;301;261;238;206;218;257;258;301;261;235;6416
22 Piauí;5;19;127;173;148;123;165;128;187;158;125;89;94;77;71;69;101;98;96;61;2114
23 Ceará;11;39;601;686;750;682;652;614;619;606;569;559;541;467;444;405;415;475;453;346;9934
24 Rio Grande do Norte;2;13;271;352;281;283;291;262;250;216;271;256;260;240;203;220;233;286;212;302;4704
25 Paraíba;277;279;409;483;380;283;264;311;304;190;220;243;245;192;217;187;190;232;212;141;5259
26 Pernambuco;28;478;1009;979;938;998;930;945;951;873;913;988;925;884;827;841;809;756;849;705;16626
27 Alagoas;48;266;239;279;243;191;233;209;180;147;166;136;146;137;119;126;112;135;128;97;3337
28 Sergipe;71;111;136;101;133;108;99;96;94;92;111;77;110;108;105;97;117;140;115;92;2113
29 Bahia;5;426;1105;916;898;903;792;710;716;658;588;479;511;451;418;403;383;388;364;306;11420
31 Minas Gerais;257;1796;1818;1821;1725;1533;1557;1492;1375;1283;1264;1187;1132;1141;1017;1096;1079;1085;1083;958;25699
32 Espírito Santo;110;385;455;378;357;345;384;404;342;321;342;323;328;271;292;270;272;265;277;269;6390
33 Rio de Janeiro;256;1512;3986;5049;4946;4425;4373;4510;4327;4273;4278;3989;3566;3451;3459;3194;3263;3417;3194;2838;72306
35 São Paulo;4;57;45;88;248;1878;3540;4999;6693;7356;7670;7422;7251;7125;7173;7243;7634;7560;7149;6178;97313
41 Paraná;292;457;2089;1900;1924;1647;1821;1788;1633;1585;1509;1518;1521;1421;1328;1416;1325;1463;1454;1300;29391
42 Santa Catarina;229;1037;1314;1249;1218;1285;1307;1393;1353;1374;1424;1458;1438;1477;1424;1420;1381;1419;1342;996;25538
43 Rio Grande do Sul;1112;3350;3509;3634;3342;3166;3329;3453;3647;3545;3597;3436;3332;3250;3191;3023;3270;3419;3577;3037;65219
50 Mato Grosso do Sul;67;301;304;331;326;306;299;336;318;284;268;293;306;232;228;258;235;317;303;240;5552
51 Mato Grosso;115;399;393;328;361;340;305;335;269;280;295;302;336;291;212;195;233;221;280;198;5688
52 Goiás;1;11;287;272;295;256;248;218;245;250;235;240;216;212;233;225;168;206;191;154;4163
53 Distrito Federal;15;135;176;158;177;177;186;146;133;97;133;144;118;110;110;89;74;89;96;70;2433
Total;3346;12175;19766;21067;20302;20378;22339;23964;25077;24797;25261;24382;23538;22626;22228;22003;22532;23177;22598;19345;420901
