UF de notificação;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;290;314;270;276;317;266;255;280;325;257;340;315;348;347;343;416;407;365;439;333;6503
12 Acre;211;203;208;178;160;230;177;202;207;197;239;266;249;293;202;305;335;337;417;433;5049
13 Amazonas;1315;1165;1120;1085;1128;1120;1267;1305;1383;1383;1272;1421;1509;1435;1690;1631;1853;2051;2178;2055;29366
14 Roraima;93;101;111;116;88;91;96;97;92;101;111;78;101;80;117;107;166;208;261;264;2479
15 Pará;2003;2221;2281;2388;2357;2271;2295;2220;2292;2357;2515;2453;2493;2414;2425;2430;2514;2617;3100;2791;48437
16 Amapá;142;184;143;162;171;151;170;161;174;151;162;151;156;126;131;179;189;146;190;174;3213
17 Tocantins;178;178;133;148;143;147;127;103;102;127;114;114;106;119;116;125;123;140;129;119;2591
21 Maranhão;1368;1349;1221;1226;1286;1200;1292;1111;1083;1123;1242;1079;1149;1047;1122;1187;1261;1419;1364;1278;24407
22 Piauí;787;693;651;630;633;564;571;519;514;497;513;465;442;406;388;415;428;464;450;418;10448
23 Ceará;2341;2233;2308;2357;2538;2268;2121;2279;2406;2366;2343;2150;2069;2063;2182;2043;2212;2406;2339;1900;44924
24 Rio Grande do Norte;563;550;599;600;500;460;487;540;454;424;530;547;566;546;516;574;695;860;753;983;11747
25 Paraíba;705;688;744;668;595;573;524;579;568;608;695;677;679;629;646;626;665;722;663;500;12754
26 Pernambuco;1764;1757;2125;2315;2375;2238;2243;2176;2091;2292;2403;2402;2324;2344;2590;2465;2409;2670;2594;2233;45810
27 Alagoas;651;660;718;695;740;703;730;699;641;622;601;616;608;634;523;597;609;683;573;468;12771
28 Sergipe;248;313;355;290;462;384;349;379;351;329;382;333;366;407;407;454;471;575;593;536;7984
29 Bahia;239;2383;3914;3911;3915;3663;3420;3339;3430;3332;3222;3034;2953;2862;2801;2689;2823;2861;2894;2233;59918
31 Minas Gerais;532;2679;2788;2841;2823;2590;2591;2681;2412;2195;2327;2156;2085;2084;2109;2134;2223;2351;2450;2117;46168
32 Espírito Santo;924;870;903;890;904;826;827;945;898;940;876;872;804;814;870;794;863;942;959;988;17709
33 Rio de Janeiro;6277;6595;6518;6324;6378;6127;6103;6378;6190;6200;6394;6476;5813;5744;6511;6654;6551;6881;6733;5730;126577
35 São Paulo;9195;9290;9109;9030;9424;9249;9339;9974;10106;10421;10763;10534;10798;11209;11921;11717;12937;12786;12421;11243;211466
41 Paraná;1334;1316;1467;1443;1485;1363;1449;1479;1399;1287;1355;1277;1381;1357;1413;1378;1385;1589;1683;1497;28337
42 Santa Catarina;723;771;794;801;783;919;935;996;970;1005;986;1037;1104;1061;1130;1137;1147;1145;1151;857;19452
43 Rio Grande do Sul;2276;2550;2739;2814;2663;2574;2709;2868;2970;2952;2986;2873;2755;2831;3023;2846;3146;3389;3626;2938;57528
50 Mato Grosso do Sul;417;395;497;494;574;453;510;550;498;499;580;538;588;513;520;598;575;796;761;658;11014
51 Mato Grosso;634;562;570;481;610;666;538;571;514;701;658;798;923;817;459;475;576;518;663;497;12231
52 Goiás;583;551;617;524;547;509;510;483;492;554;520;543;579;556;665;595;681;707;657;627;11500
53 Distrito Federal;311;321;344;311;284;288;277;205;168;160;208;212;191;205;236;239;183;238;209;193;4783
00 Ignorado/exterior;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
Total;36104;40892;43247;42998;43883;41893;41912;43119;42730;43080;44337;43417;43139;42943;45056;44810;47427;49866;50251;44063;875167
