UF de notificação;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;-;-;-;-;-;-;-;-;2;3;2;-;-;5;2;14
12 Acre;-;-;-;-;-;-;-;-;-;2;-;2;2;4;1;11
13 Amazonas;-;-;-;-;-;-;-;-;-;5;5;11;15;35;31;102
14 Roraima;-;-;-;-;-;-;-;-;-;6;7;15;44;68;55;195
15 Pará;-;-;-;-;-;-;-;-;-;6;6;2;8;7;8;37
16 Amapá;-;-;-;-;-;-;-;-;1;2;1;1;1;-;-;6
17 Tocantins;-;-;-;-;-;-;-;-;1;2;1;1;-;2;-;7
21 Maranhão;-;-;-;-;-;-;1;-;-;1;-;-;4;4;5;15
22 Piauí;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
23 Ceará;-;-;-;-;-;-;-;-;1;3;-;4;10;6;4;28
24 Rio Grande do Norte;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;3
25 Paraíba;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;6
26 Pernambuco;-;-;-;-;-;-;-;-;-;6;1;4;3;-;3;17
27 Alagoas;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;3
28 Sergipe;-;-;-;-;-;-;-;-;-;4;1;2;-;2;-;9
29 Bahia;-;-;-;-;-;-;-;-;1;3;6;5;5;5;7;32
31 Minas Gerais;-;-;-;-;-;-;-;1;3;9;13;16;8;7;10;67
32 Espírito Santo;-;-;-;-;-;-;-;-;-;1;-;1;1;5;2;10
33 Rio de Janeiro;-;-;-;-;-;-;-;-;2;22;38;45;56;39;9;211
35 São Paulo;1;3;8;1;1;5;-;-;9;125;209;196;188;174;176;1096
41 Paraná;-;-;-;-;-;-;-;7;4;9;10;7;17;10;10;74
42 Santa Catarina;-;-;-;-;-;-;-;-;4;30;13;20;10;22;20;119
43 Rio Grande do Sul;-;-;-;-;-;-;-;-;3;18;12;18;25;24;24;124
50 Mato Grosso do Sul;-;-;-;-;-;-;-;-;2;6;9;1;3;3;3;27
51 Mato Grosso;-;-;-;-;-;-;-;-;1;2;7;7;6;5;10;38
52 Goiás;-;-;-;-;-;-;-;-;1;2;4;1;5;4;4;21
53 Distrito Federal;-;-;-;-;-;-;-;-;2;2;-;3;4;7;1;19
Total;1;3;8;1;1;5;1;8;38;269;346;363;420;438;392;2294
