UF de notificação;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;-;-;-;-;-;-;-;-;2;6;16;13;11;11;7;66
12 Acre;-;-;-;-;-;-;-;-;-;1;9;9;3;12;13;47
13 Amazonas;-;-;-;-;-;-;-;-;3;32;60;37;40;46;51;269
14 Roraima;-;-;-;-;-;-;-;-;-;3;2;2;3;5;2;17
15 Pará;-;-;-;-;-;-;-;1;2;38;34;44;54;51;61;285
16 Amapá;-;-;-;-;-;-;-;-;-;1;8;3;8;4;5;29
17 Tocantins;-;-;-;-;-;-;-;-;1;1;7;2;4;1;6;22
21 Maranhão;-;-;-;-;-;-;-;-;8;19;21;33;24;24;34;163
22 Piauí;-;-;-;-;-;-;-;-;1;5;9;10;14;14;11;64
23 Ceará;-;-;-;-;-;-;-;-;3;27;29;28;23;28;32;170
24 Rio Grande do Norte;-;-;-;-;-;-;1;-;1;9;20;9;11;17;18;86
25 Paraíba;-;-;-;-;-;-;1;-;2;5;10;11;7;9;13;58
26 Pernambuco;-;-;-;-;-;-;-;-;4;24;39;39;38;48;66;258
27 Alagoas;-;-;-;-;-;-;-;-;2;5;10;9;17;17;21;81
28 Sergipe;-;-;-;-;-;-;-;1;1;14;10;5;8;13;13;65
29 Bahia;-;-;-;-;-;-;-;-;6;42;32;42;45;39;47;253
31 Minas Gerais;-;-;-;-;-;-;1;1;5;34;37;40;55;42;54;269
32 Espírito Santo;-;-;-;-;-;-;-;-;2;27;19;11;18;23;25;125
33 Rio de Janeiro;-;-;-;-;-;-;-;-;16;113;144;122;151;136;166;848
35 São Paulo;3;1;9;6;15;193;191;-;181;166;191;230;233;239;255;1913
41 Paraná;-;-;-;-;-;-;-;1;16;22;36;24;47;41;33;220
42 Santa Catarina;-;-;-;-;-;-;-;-;3;22;13;18;25;31;26;138
43 Rio Grande do Sul;-;-;1;-;1;-;-;-;19;75;77;60;69;56;76;434
50 Mato Grosso do Sul;-;-;-;-;-;-;1;-;5;9;7;8;7;10;8;55
51 Mato Grosso;-;-;-;-;-;-;1;1;3;10;14;12;17;18;17;93
52 Goiás;-;-;-;-;-;-;-;1;-;9;11;16;25;12;14;88
53 Distrito Federal;-;-;-;-;-;-;-;-;6;5;8;3;9;6;10;47
Total;3;1;10;6;16;193;196;6;292;724;873;840;966;953;1084;6163
