UF de notificação;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
11 Rondônia;-;-;-;-;-;-;-;-;3;14;16;19;19;21;23;115
12 Acre;-;-;-;-;-;-;-;-;3;8;9;10;2;6;7;45
13 Amazonas;-;-;-;-;-;-;-;1;3;48;57;66;70;89;92;426
14 Roraima;-;-;-;-;-;-;-;-;-;4;-;3;11;9;2;29
15 Pará;-;-;-;-;-;-;-;-;20;61;58;60;70;62;82;413
16 Amapá;-;-;-;-;-;-;-;-;3;3;2;5;5;5;1;24
17 Tocantins;-;-;-;-;-;-;-;-;2;10;6;4;10;6;4;42
21 Maranhão;-;-;-;-;-;-;-;-;3;33;38;42;74;69;46;305
22 Piauí;1;-;-;-;-;-;-;-;1;16;15;15;22;27;15;112
23 Ceará;-;-;1;-;1;1;-;2;32;95;121;173;163;181;155;925
24 Rio Grande do Norte;-;-;-;-;-;-;-;-;5;47;35;50;39;33;53;262
25 Paraíba;-;-;-;-;-;-;-;1;8;18;25;30;21;26;29;158
26 Pernambuco;-;-;-;-;-;1;-;2;21;65;79;115;116;137;131;667
27 Alagoas;-;-;-;-;-;-;1;-;10;26;32;35;44;47;31;226
28 Sergipe;-;-;-;-;-;-;-;-;12;26;33;16;30;34;24;175
29 Bahia;-;-;-;-;-;-;2;-;34;120;119;115;138;121;111;760
31 Minas Gerais;-;-;-;-;-;7;6;9;51;128;171;175;192;223;206;1168
32 Espírito Santo;-;-;-;-;-;-;-;-;14;41;42;53;70;70;103;393
33 Rio de Janeiro;-;1;1;2;4;11;21;26;187;524;510;432;450;483;463;3115
35 São Paulo;36;56;69;101;118;525;571;634;898;950;940;1004;1069;1117;1073;9161
41 Paraná;2;-;-;-;1;-;-;9;48;99;115;115;131;133;180;833
42 Santa Catarina;-;-;-;-;-;2;-;13;36;106;104;126;108;97;66;658
43 Rio Grande do Sul;-;-;1;1;3;2;6;17;203;384;355;399;396;506;465;2738
50 Mato Grosso do Sul;-;-;-;-;-;-;-;1;10;23;29;43;48;60;56;270
51 Mato Grosso;-;-;-;-;-;-;1;2;4;49;24;32;56;35;34;237
52 Goiás;-;-;-;-;-;-;-;-;10;45;40;50;54;62;50;311
53 Distrito Federal;-;-;-;-;-;-;-;2;8;17;15;8;24;24;28;126
Total;39;57;72;104;127;549;608;719;1629;2960;2990;3195;3432;3683;3530;23694
