"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"11 Rondônia";"146912";"147128";"505662";"576588";"460298";"440338";"460134";"470341";"451760";"453584";"452625";"466042";"451221";"425590";"403659";"403843";"388138";"116244";"98578";"143099";"3416";"10067";"115039";"134806";"123581";"125355";"118286";"53425";"8145759"
"12 Acre";"22573";"55787";"74200";"320643";"227286";"263549";"246334";"259131";"286877";"291293";"273014";"281820";"268552";"289810";"288516";"279533";"269211";"102923";"79969";"104200";"28290";"51866";"65859";"67572";"64517";"69179";"57132";"27029";"4716665"
"13 Amazonas";"107259";"238438";"371598";"1142824";"1070385";"1042374";"1149653";"1206385";"1253770";"1106222";"1025743";"1091573";"1079362";"1098658";"1039062";"1035157";"1032417";"310136";"297522";"432523";"20773";"141358";"306814";"338023";"336189";"360895";"299536";"161546";"19096195"
"14 Roraima";"100588";"149171";"114350";"136794";"140598";"145925";"147505";"133642";"143409";"141401";"142893";"146146";"138321";"149364";"134922";"141997";"142430";"48176";"36981";"59315";"3133";"7379";"45042";"51098";"53631";"55192";"48753";"23052";"2781208"
"15 Pará";"316793";"362349";"1192999";"2106973";"2269452";"3120133";"3008523";"2775877";"2849187";"2950831";"2723617";"2805417";"2720927";"2542737";"2498663";"2282634";"2205890";"679079";"591343";"780140";"181843";"434167";"441707";"497290";"482954";"529092";"468775";"216067";"44035459"
"16 Amapá";"0";"35690";"51536";"135728";"178146";"204597";"197087";"261158";"206672";"222810";"222025";"222718";"220737";"217087";"207921";"244632";"211574";"59013";"58821";"77309";"11560";"18911";"30182";"51656";"58247";"62940";"41248";"23179";"3533184"
"17 Tocantins";"0";"0";"376043";"199431";"493386";"451219";"444036";"461271";"425978";"406688";"406121";"396533";"392297";"387037";"371436";"359655";"339490";"98351";"78608";"116810";"29937";"92930";"113754";"113241";"110061";"109226";"108250";"51527";"6933316"
"21 Maranhão";"634912";"538176";"1201443";"2288166";"2002021";"2157135";"2151110";"2432219";"2361619";"2301195";"2209303";"2318898";"2185597";"2258452";"2086827";"2023662";"1904136";"566827";"466620";"667684";"81328";"238658";"397397";"457345";"441793";"424921";"368780";"172373";"37338597"
"22 Piauí";"1001536";"609738";"607656";"908892";"914272";"953477";"962483";"954797";"941188";"912924";"893542";"875661";"852584";"835482";"778452";"779022";"744836";"200751";"161776";"249586";"60556";"138369";"168421";"189596";"179425";"185363";"182873";"88454";"16331712"
"23 Ceará";"1044211";"949593";"1818459";"2864244";"2518033";"2623579";"2500538";"2525608";"2454129";"2389053";"2354642";"2403348";"2260894";"2197436";"2115748";"2064097";"1989010";"578525";"467995";"665297";"65209";"151940";"620384";"629704";"659007";"568055";"579801";"211879";"42270418"
