 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Período:Jan/2008-Jun/2021
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;6;8;7;11;13;9;6;1;8;6;7;11;4;7;104
"12 Acre";-;7;2;6;4;8;2;2;5;8;5;10;7;11;2;79
"13 Amazonas";3;16;14;38;32;21;24;18;16;18;22;16;27;17;7;289
"14 Roraima";-;1;3;2;5;1;4;3;1;4;5;4;10;4;3;50
"15 Pará";3;37;29;30;38;27;30;44;31;45;31;34;60;45;21;505
"16 Amapá";-;5;1;5;5;10;13;2;7;3;1;4;5;1;-;62
"17 Tocantins";1;4;9;4;5;2;5;5;1;3;2;5;4;8;4;62
"21 Maranhão";-;32;23;15;21;16;17;7;24;14;16;16;28;23;5;257
"22 Piauí";1;9;2;12;10;8;4;6;9;10;11;15;14;10;6;127
"23 Ceará";3;52;59;62;38;67;56;43;42;47;44;42;40;35;11;641
"24 Rio Grande do Norte";6;27;28;32;30;47;26;37;36;24;18;43;33;24;5;416
"25 Paraíba";-;29;19;46;38;45;28;45;45;28;29;37;51;36;20;496
"26 Pernambuco";36;221;159;101;164;168;99;83;104;98;101;115;107;96;39;1691
"27 Alagoas";-;19;34;32;28;28;27;28;34;22;26;26;41;32;10;387
"28 Sergipe";1;1;1;1;5;2;4;9;7;11;11;18;16;5;1;93
"29 Bahia";8;104;116;102;120;71;69;79;91;76;111;83;89;68;34;1221
"31 Minas Gerais";12;86;83;66;67;66;61;60;79;79;84;77;75;93;58;1046
"32 Espírito Santo";1;11;17;14;20;21;22;16;16;19;13;17;13;14;13;227
"33 Rio de Janeiro";4;162;166;175;201;194;161;136;180;160;153;181;190;249;100;2412
"35 São Paulo";10;166;110;102;162;202;171;169;211;226;295;273;267;297;142;2803
"41 Paraná";8;81;48;37;26;38;39;40;47;33;24;29;35;39;21;545
"42 Santa Catarina";2;16;23;20;24;25;19;32;36;43;37;41;46;54;29;447
"43 Rio Grande do Sul";6;106;80;94;89;81;51;66;59;61;84;78;96;104;34;1089
"50 Mato Grosso do Sul";1;19;15;17;16;9;21;23;35;26;23;13;20;27;21;286
"51 Mato Grosso";2;9;5;13;10;9;18;21;10;6;11;8;14;20;4;160
"52 Goiás";2;26;36;39;32;28;27;7;15;26;18;25;33;21;13;348
"53 Distrito Federal";1;5;3;2;6;5;3;4;2;6;3;1;6;5;4;56
"Total";111;1257;1093;1074;1207;1212;1010;991;1144;1104;1184;1218;1338;1342;614;15899
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
