UF Residência;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
TOTAL;34942;39398;38185;38355;38230;37643;38712;41225;41192;40775;42772;42480;43368;42135;40995;39425;38535;38040;37308;11880;765595
Rondônia;154;202;212;213;238;295;303;294;278;309;378;381;451;419;365;330;376;333;317;148;5996
Acre;30;46;32;57;56;35;60;62;41;63;75;69;68;71;60;70;73;107;84;19;1178
Amazonas;369;456;413;554;636;682;720;959;1077;1138;1094;1096;1399;1531;1210;1202;1077;1187;1442;482;18724
Roraima;54;36;99;114;72;75;121;165;151;173;148;137;159;147;158;185;182;238;243;57;2714
Pará;530;630;698;993;922;928;1117;1400;1391;1508;1411;1535;1872;1997;2209;2290;2004;2287;2356;571;28649
Amapá;50;75;51;66;75;92;115;113;115;124;155;161;206;178;147;228;241;223;189;63;2667
Tocantins;64;84;87;102;88;112;92;132;155;146;191;197;254;215;224;200;251;233;168;75;3070
Maranhão;350;395;492;730;686;731;794;880;1065;1083;1252;1212;1389;1353;1516;1388;1487;1395;1295;315;19808
Piauí;163;192;192;332;341;268;324;339;409;385;377;486;491;493;417;426;425;395;439;130;7024
Ceará;633;755;806;963;835;846;1116;1118;1183;1114;1212;1377;1304;1311;1363;1338;1263;1348;1360;373;21618
Rio Grande do Norte;173;170;201;152;365;285;357;361;411;380;427;453;547;564;501;518;656;739;603;210;8073
Paraíba;244;308;302;357;360;339;361;412;423;442;445;496;494;526;567;455;562;564;607;172;8436
Pernambuco;946;1240;1162;1298;1695;1511;1628;1662;1603;1839;1784;1973;2050;2021;1864;1909;1851;1872;1833;534;32275
Alagoas;218;236;261;224;302;270;322;404;387;389;446;442;448;448;448;514;616;601;556;174;7706
Sergipe;94;130;163;161;183;198;239;316;262;284;317;272;325;313;396;372;370;400;370;149;5314
Bahia;918;1342;1255;1383;1376;1382;1533;1725;1838;1899;1958;1975;2146;1961;1965;1933;1865;1915;1917;599;32885
Minas Gerais;2185;3232;3002;3091;3109;2916;3005;3097;2927;2864;3071;3018;2934;2954;2961;2720;2660;2495;2370;851;55462
Espírito Santo;550;768;737;733;718;672;683;761;819;872;825;916;842;884;801;709;656;665;710;249;14570
Rio de Janeiro;4491;5730;5350;5785;5471;5366;5276;5039;5614;5386;5511;5230;5245;5035;4796;4543;4456;4200;4028;1169;97721
São Paulo;13943;11882;11364;10595;10664;9954;8982;9559;9394;8904;9315;8724;8422;8007;7727;7647;7301;7003;6467;2294;178148
Paraná;1676;2248;2061;1835;1802;1806;1953;2794;2084;1967;2149;2145;2168;2142;2168;1901;1979;1931;1823;578;39210
Santa Catarina;1830;2468;2264;2173;1913;2291;2085;2207;2260;2251;2633;2380;2322;2169;2357;2126;1896;1886;1796;615;41922
Rio Grande do Sul;3523;4356;4471;4043;4020;4329;5139;4926;4727;4634;4749;4776;4746;4436;3988;3685;3418;3167;3224;1011;81368
Mato Grosso do Sul;302;465;447;450;397;423;440;556;514;517;488;675;676;584;556;543;656;637;673;225;10224
Mato Grosso;358;556;599;612;600;559;672;683;655;659;744;667;691;829;665;704;765;753;874;285;12930
Goiás;754;833;811;819;803;791;814;785;900;937;991;1077;1056;990;1043;999;1008;1044;1119;371;17945
Distrito Federal;340;563;653;520;503;487;461;476;509;508;626;610;663;557;523;490;441;422;445;161;9958
