Estado;Sigla;Código do Estado;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Rondônia;RO;11;58;38;46;25;35;32;33;32;41;40;46;35;461
Acre;AC;12;46;33;51;53;34;30;60;50;51;50;31;40;529
Amazonas;AM;13;301;252;303;174;157;225;228;231;241;221;204;211;2748
Roraima;RR;14;34;33;30;17;18;23;30;24;24;25;18;22;298
Pará;PA;15;408;355;383;278;293;335;367;331;354;331;354;283;4072
Amapá;AP;16;19;16;35;15;16;19;40;22;27;22;11;22;264
Tocantins;TO;17;14;16;20;16;17;15;12;10;12;18;15;15;180
Maranhão;MA;21;224;192;210;134;104;148;160;185;182;204;177;142;2062
Piauí;PI;22;67;66;57;60;30;42;44;52;42;55;56;49;620
Ceará;CE;23;281;261;278;199;178;237;272;244;272;290;255;222;2989
Rio Grande do Norte;RN;24;106;85;105;96;94;82;108;147;115;112;145;114;1309
Paraíba;PB;25;77;88;81;54;44;60;64;59;76;99;64;85;851
Pernambuco;PE;26;421;367;395;315;251;286;367;340;379;333;352;292;4098
Alagoas;AL;27;91;74;94;43;35;57;63;79;72;57;77;60;802
Sergipe;SE;28;82;61;48;46;73;41;51;53;59;67;77;56;714
Bahia;BA;29;353;347;389;261;205;252;286;274;303;280;319;292;3561
Minas Gerais;MG;31;348;306;307;241;255;271;258;255;250;258;250;243;3242
Espírito Santo;ES;32;111;114;109;87;84;120;117;98;129;124;129;84;1306
Rio de Janeiro;RJ;33;1097;843;1045;690;653;785;973;866;954;984;800;735;10425
São Paulo;SP;35;1649;1345;1652;1117;1053;1162;1235;1318;1438;1418;1316;1308;16011
Paraná;PR;41;190;181;226;150;175;180;185;182;164;178;158;153;2122
Santa Catarina;SC;42;136;104;121;115;95;101;90;120;118;126;106;111;1343
Rio Grande do Sul;RS;43;474;426;464;360;363;345;357;341;377;364;316;337;4524
Mato Grosso do Sul;MS;50;94;92;124;78;62;74;64;86;96;95;81;72;1018
Mato Grosso;MT;51;105;96;92;103;80;72;61;86;98;79;99;77;1048
Goiás;GO;52;98;89;80;75;74;64;65;66;59;71;77;87;905
Distrito Federal;DF;53;30;27;32;38;14;24;22;18;22;24;23;26;300
;;Total;6919;5910;6777;4841;4494;5085;5619;5572;5959;5930;5560;5177;67843
