Estado;Sigla;Código do Estado;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
Rondônia;RO;11;-;-;-;-;-;-;-;-;2;6;16;13;11;11;7;66
Acre;AC;12;-;-;-;-;-;-;-;-;-;1;9;9;3;12;13;47
Amazonas;AM;13;-;-;-;-;-;-;-;-;3;32;60;37;40;46;51;269
Roraima;RR;14;-;-;-;-;-;-;-;-;-;3;2;2;3;5;2;17
Pará;PA;15;-;-;-;-;-;-;-;1;2;38;34;44;54;51;61;285
Amapá;AP;16;-;-;-;-;-;-;-;-;-;1;8;3;8;4;5;29
Tocantins;TO;17;-;-;-;-;-;-;-;-;1;1;7;2;4;1;6;22
Maranhão;MA;21;-;-;-;-;-;-;-;-;8;19;21;33;24;24;34;163
Piauí;PI;22;-;-;-;-;-;-;-;-;1;5;9;10;14;14;11;64
Ceará;CE;23;-;-;-;-;-;-;-;-;3;27;29;28;23;28;32;170
Rio Grande do Norte;RN;24;-;-;-;-;-;-;1;-;1;9;20;9;11;17;18;86
Paraíba;PB;25;-;-;-;-;-;-;1;-;2;5;10;11;7;9;13;58
Pernambuco;PE;26;-;-;-;-;-;-;-;-;4;24;39;39;38;48;66;258
Alagoas;AL;27;-;-;-;-;-;-;-;-;2;5;10;9;17;17;21;81
Sergipe;SE;28;-;-;-;-;-;-;-;1;1;14;10;5;8;13;13;65
Bahia;BA;29;-;-;-;-;-;-;-;-;6;42;32;42;45;39;47;253
Minas Gerais;MG;31;-;-;-;-;-;-;1;1;5;34;37;40;55;42;54;269
Espírito Santo;ES;32;-;-;-;-;-;-;-;-;2;27;19;11;18;23;25;125
Rio de Janeiro;RJ;33;-;-;-;-;-;-;-;-;16;113;144;122;151;136;166;848
São Paulo;SP;35;3;1;9;6;15;193;191;-;181;166;191;230;233;239;255;1913
Paraná;PR;41;-;-;-;-;-;-;-;1;16;22;36;24;47;41;33;220
Santa Catarina;SC;42;-;-;-;-;-;-;-;-;3;22;13;18;25;31;26;138
Rio Grande do Sul;RS;43;-;-;1;-;1;-;-;-;19;75;77;60;69;56;76;434
Mato Grosso do Sul;MS;50;-;-;-;-;-;-;1;-;5;9;7;8;7;10;8;55
Mato Grosso;MT;51;-;-;-;-;-;-;1;1;3;10;14;12;17;18;17;93
Goiás;GO;52;-;-;-;-;-;-;-;1;-;9;11;16;25;12;14;88
Distrito Federal;DF;53;-;-;-;-;-;-;-;-;6;5;8;3;9;6;10;47
