Estado;Sigla;Código do Estado;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
Rondônia;RO;11;1;14;8;10;4;5;4;2;4;1;5;5;24;9;5;5;15;7;8;7;143
Acre;AC;12;5;8;5;8;9;12;7;2;4;4;4;4;2;2;3;1;5;9;12;4;110
Amazonas;AM;13;3;1;23;57;12;23;19;19;11;17;11;15;24;15;16;12;8;17;15;9;327
Roraima;RR;14;3;1;-;4;5;3;2;-;1;-;2;1;1;-;1;1;1;-;2;1;29
Pará;PA;15;6;18;36;38;38;33;53;34;31;26;14;14;23;14;20;16;27;24;17;34;516
Amapá;AP;16;2;5;10;18;9;1;-;2;1;1;-;-;1;1;3;3;1;3;1;2;64
Tocantins;TO;17;7;8;3;5;4;3;6;2;3;3;2;-;1;1;1;2;4;2;5;7;69
Maranhão;MA;21;7;65;102;88;50;54;25;23;20;19;14;12;10;15;13;10;11;16;30;14;598
Piauí;PI;22;-;6;30;18;25;52;40;11;13;13;18;10;6;10;2;4;8;11;2;12;291
Ceará;CE;23;1;1;32;74;66;73;48;47;56;26;35;44;30;18;20;9;18;22;18;20;658
Rio Grande do Norte;RN;24;-;-;14;24;16;7;17;10;8;5;12;4;9;12;4;8;12;6;6;5;179
Paraíba;PB;25;10;16;12;24;27;22;9;17;19;9;11;3;8;5;7;8;4;4;4;7;226
Pernambuco;PE;26;1;19;76;105;85;78;113;112;105;42;43;65;52;50;49;40;65;46;48;41;1235
Alagoas;AL;27;2;5;18;7;7;14;15;11;9;10;10;10;9;13;4;11;11;14;7;12;199
Sergipe;SE;28;9;12;6;12;7;7;8;7;7;6;2;4;3;7;7;6;8;13;13;8;152
Bahia;BA;29;2;41;115;59;51;81;68;92;89;90;67;44;31;41;26;30;28;23;28;20;1026
Minas Gerais;MG;31;7;78;62;66;75;51;63;44;35;20;39;32;26;25;27;37;19;33;22;20;781
Espírito Santo;ES;32;3;17;11;9;11;10;15;7;8;4;3;5;4;5;3;8;5;9;5;138;280
Rio de Janeiro;RJ;33;5;28;90;108;75;80;107;110;80;97;69;71;69;69;62;76;76;99;110;78;1559
São Paulo;SP;35;-;-;1;4;8;27;80;120;147;143;159;168;148;130;134;-;1;1;151;126;1548
Paraná;PR;41;2;2;35;19;20;18;18;14;24;20;25;19;20;21;17;13;26;18;30;29;390
Santa Catarina;SC;42;-;8;14;14;8;5;10;9;9;6;12;12;6;5;6;9;6;7;11;9;166
Rio Grande do Sul;RS;43;8;17;24;15;16;19;33;17;11;22;11;16;13;8;21;16;25;30;15;26;363
Mato Grosso do Sul;MS;50;3;10;17;12;17;25;31;18;27;30;12;13;16;8;9;4;16;15;10;13;306
Mato Grosso;MT;51;7;22;11;20;18;16;5;16;8;10;6;13;6;9;8;9;11;11;12;10;228
Goiás;GO;52;-;3;22;15;13;19;8;6;8;6;13;9;8;7;25;4;21;14;10;9;220
Distrito Federal;DF;53;1;12;14;20;7;6;6;10;4;3;2;3;2;8;3;5;3;3;3;5;120
