Estado;Sigla;Código do Estado;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
Rondônia;RO;11;402;415;383;364;399;335;350;371;400;344;390;396;387;393;388;460;420;406;423;102;7528
Acre;AC;12;272;234;215;216;214;300;246;237;289;265;311;322;322;361;259;345;394;385;461;318;5966
Amazonas;AM;13;1824;1673;1534;1598;1455;1632;1577;1694;1737;1796;1712;1805;2007;2003;2074;2091;2235;2206;2313;1171;36137
Roraima;RR;14;108;118;134;158;108;94;108;109;111;106;121;92;110;105;111;97;138;174;214;160;2476
Pará;PA;15;2100;2365;2403;2579;2536;2499;2471;2421;2626;2638;2836;2478;2744;2651;2299;2548;2793;2922;3248;1507;50664
Amapá;AP;16;124;156;134;147;139;145;173;153;147;143;171;163;154;123;125;155;207;166;213;98;3036
Tocantins;TO;17;176;197;147;164;153;191;161;141;148;139;138;147;138;131;121;126;117;147;152;72;2906
Maranhão;MA;21;1824;1927;1791;1818;1966;1847;1805;1645;1564;1537;1642;1333;1509;1352;1407;1494;1538;1691;1580;773;32043
Piauí;PI;22;810;722;775;714;744;749;738;649;615;601;638;529;556;492;439;479;499;514;408;149;11820
Ceará;CE;23;2514;2113;2668;2758;2951;2751;2755;2950;2864;2683;2675;2505;2414;2212;2270;2358;2399;2522;2175;927;49464
Rio Grande do Norte;RN;24;808;841;778;794;735;707;688;741;693;625;707;640;727;708;621;663;714;878;740;463;14271
Paraíba;PB;25;814;809;887;832;885;793;742;699;710;700;732;786;802;716;411;671;628;701;557;198;14073
Pernambuco;PE;26;2234;2436;2748;2981;2970;2832;2840;2855;2730;2729;2839;2953;2899;2855;2944;2956;3165;3078;3158;1516;55718
Alagoas;AL;27;815;798;862;887;985;913;940;911;849;814;794;732;763;746;608;651;623;673;603;227;15194
Sergipe;SE;28;351;383;435;385;479;467;383;442;428;413;470;392;456;459;454;454;485;588;638;301;8863
Bahia;BA;29;318;2926;4578;4791;4758;4459;4105;4120;4101;3643;3711;3319;3382;3319;3027;2927;3022;3023;2715;1076;67320
Minas Gerais;MG;31;762;3663;3707;3670;3702;3499;3508;3427;3186;2842;2950;2684;2658;2601;2377;2436;2492;2593;2564;1005;56326
Espírito Santo;ES;32;980;1019;1049;1013;1059;957;1021;1140;1025;1033;1020;967;909;880;931;814;876;919;809;0;18421
Rio de Janeiro;RJ;33;6873;6517;7631;7376;8142;7937;7520;7828;7905;7528;7933;7608;7430;7421;7183;7565;7631;7908;7785;3142;146863
São Paulo;SP;35;11916;12041;12215;12099;12059;11860;11702;12540;12228;12802;13342;13230;13343;13290;13579;13836;14604;14608;13902;7877;253073
Paraná;PR;41;1886;1952;2102;1850;2014;1781;1912;1923;1830;1813;1882;1688;1737;1713;1654;1576;1474;1681;1619;840;34927
Santa Catarina;SC;42;961;1123;1180;1162;1143;1209;1209;1247;1275;1334;1384;1400;1442;1390;1292;1284;1295;1265;1147;529;24271
Rio Grande do Sul;RS;43;2898;3235;3415;3508;3263;3229;3280;3340;3507;3343;3354;3280;3183;3126;2981;2957;3158;3172;3122;1419;62770
Mato Grosso do Sul;MS;50;614;532;651;613;673;604;612;663;643;596;639;590;622;545;523;601;583;809;722;279;12114
Mato Grosso;MT;51;944;809;811;729;862;894;797;844;719;841;820;898;1097;1047;850;803;774;768;832;302;16441
