,Estado,Sigla,Código do Estado,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
0,Rondônia,RO,11,2,35,28,33,31,26,26,26,42,23,29,25,25,19,24,15,16,15,11,11,462
1,Acre,AC,12,21,16,11,10,11,20,14,16,15,22,23,18,23,24,16,19,26,19,9,15,348
2,Amazonas,AM,13,138,152,176,144,129,147,159,142,137,109,122,137,165,172,150,158,172,173,165,157,3004
3,Roraima,RR,14,29,38,46,37,28,24,29,29,43,35,45,31,35,30,31,23,37,67,69,37,743
4,Pará,PA,15,6,16,42,31,26,42,52,55,41,47,42,63,40,36,56,58,75,53,94,58,933
5,Amapá,AP,16,2,8,1,5,1,2,8,-,4,5,4,3,9,2,8,2,3,6,10,2,85
6,Tocantins,TO,17,4,25,14,22,9,2,9,7,5,13,4,10,3,7,8,10,11,12,7,12,194
7,Maranhão,MA,21,18,35,70,57,25,49,54,41,52,39,41,28,47,40,41,43,48,27,46,29,830
8,Piauí,PI,22,-,-,6,4,4,-,9,11,5,1,6,2,6,5,3,1,1,1,4,3,72
9,Ceará,CE,23,-,-,5,10,4,5,26,14,17,13,24,12,10,17,22,15,12,16,15,11,248
10,Rio Grande do Norte,RN,24,1,-,1,1,3,3,8,4,1,2,6,4,3,3,5,-,2,1,1,3,52
11,Paraíba,PB,25,-,-,1,3,1,3,7,8,5,3,4,6,2,5,3,-,1,5,2,2,61
12,Pernambuco,PE,26,-,15,27,22,12,12,22,18,14,18,19,15,21,25,16,20,17,23,18,24,358
13,Alagoas,AL,27,1,5,5,1,4,3,6,2,5,-,8,1,9,5,3,5,6,8,2,8,87
14,Sergipe,SE,28,-,-,1,-,-,1,1,2,2,1,3,2,-,2,-,3,1,2,2,1,24
15,Bahia,BA,29,-,8,33,28,23,20,20,32,41,36,22,31,22,21,14,17,12,24,29,22,455
16,Minas Gerais,MG,31,1,11,17,11,18,10,25,14,8,12,8,8,17,12,6,7,10,6,8,9,218
17,Espírito Santo,ES,32,-,3,1,1,2,-,6,1,1,3,3,3,3,3,4,2,-,5,2,-,43
18,Rio de Janeiro,RJ,33,1,1,8,8,9,12,40,30,11,26,25,18,25,19,20,21,18,15,21,16,344
19,São Paulo,SP,35,-,-,-,-,-,17,56,95,109,108,146,104,88,65,73,63,41,48,25,27,1065
20,Paraná,PR,41,3,1,8,6,13,13,13,10,8,25,6,7,4,12,9,9,9,9,14,5,184
21,Santa Catarina,SC,42,1,1,1,9,6,8,10,5,3,11,4,8,4,2,5,9,8,4,5,7,111
22,Rio Grande do Sul,RS,43,4,14,10,10,14,14,21,13,25,15,22,16,24,15,14,14,35,12,23,9,324
23,Mato Grosso do Sul,MS,50,65,119,165,162,148,89,123,141,145,149,185,122,136,93,90,109,111,133,103,98,2486
24,Mato Grosso,MT,51,19,65,59,36,76,72,63,49,59,48,74,90,88,118,238,183,85,83,98,75,1678
25,Goiás,GO,52,-,1,3,7,3,7,12,13,9,8,2,3,1,5,-,6,2,2,1,3,88
26,Distrito Federal,DF,53,-,4,7,7,8,9,3,6,3,2,1,-,2,2,5,1,-,1,2,-,63
