,Estado,Sigla,Código do Estado,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
0,Rondônia,RO,11,3,272,280,276,290,262,277,287,324,283,363,348,350,364,316,412,367,359,421,317,6171
1,Acre,AC,12,119,156,154,154,183,238,201,205,264,259,264,282,275,313,256,302,327,334,428,413,5127
2,Amazonas,AM,13,632,655,872,1392,1511,1589,1551,1689,1683,1849,1706,1830,2020,2021,2174,2090,2338,2456,2561,2206,34825
3,Roraima,RR,14,59,63,83,104,73,79,70,82,68,85,85,59,100,69,99,97,135,136,199,223,1968
4,Pará,PA,15,805,1297,2187,2373,2404,2347,2176,2167,2486,2532,2685,2473,2628,2607,2481,2651,2885,2978,3451,3063,48676
5,Amapá,AP,16,116,154,140,128,167,152,151,165,165,145,185,142,127,116,125,186,180,145,193,191,3073
6,Tocantins,TO,17,118,155,145,122,130,159,123,117,139,120,141,118,126,115,111,117,95,137,127,118,2533
7,Maranhão,MA,21,159,827,1303,1341,1620,1424,1361,1255,1252,1342,1389,1249,1330,1277,1364,1456,1506,1554,1554,1472,26035
8,Piauí,PI,22,32,125,763,937,934,788,815,764,608,549,586,589,577,509,439,500,475,521,495,449,11455
9,Ceará,CE,23,30,103,1277,1665,2020,2012,2195,2509,2608,2453,2590,2428,2370,2367,2486,2541,2559,2754,2753,2313,42033
10,Rio Grande do Norte,RN,24,5,20,487,539,555,425,389,483,528,563,588,567,614,575,575,577,671,777,720,773,10431
11,Paraíba,PB,25,260,397,511,546,546,501,579,608,611,701,742,776,732,714,648,685,778,842,817,606,12600
12,Pernambuco,PE,26,147,818,1401,1709,1807,1668,1926,2100,2068,2133,2367,2531,2514,2446,2483,2469,2690,2696,2741,2373,41087
13,Alagoas,AL,27,128,376,578,552,732,682,725,783,779,633,705,769,700,677,572,643,676,715,662,536,12623
14,Sergipe,SE,28,226,239,254,275,407,361,289,358,360,331,365,358,412,432,421,452,439,509,553,437,7478
15,Bahia,BA,29,47,1133,3181,2929,2919,3026,2993,2972,3050,2914,2896,2887,2818,2684,2534,2356,2645,2677,2738,2132,51531
16,Minas Gerais,MG,31,179,1137,1414,1476,1416,1421,1611,1556,1502,1306,1424,1300,1319,1363,1301,1322,1530,1647,1749,1537,27510
17,Espírito Santo,ES,32,147,477,548,581,625,554,614,662,641,671,647,630,551,550,569,503,613,686,679,599,11547
18,Rio de Janeiro,RJ,33,177,1031,2593,3701,3618,3572,3701,3556,3633,3558,3671,3794,3815,3797,3966,4244,4438,4938,4684,4142,70629
19,São Paulo,SP,35,5,4,13,36,95,776,1463,2430,3679,4154,4992,5067,5314,5470,5856,5995,6678,6749,6770,6116,71662
20,Paraná,PR,41,22,55,364,389,405,367,431,492,483,457,545,428,530,521,584,524,484,632,577,576,8866
21,Santa Catarina,SC,42,6,34,45,61,91,89,98,133,104,127,146,163,159,161,155,171,204,186,187,174,2494
22,Rio Grande do Sul,RS,43,88,176,240,270,293,313,344,325,345,356,391,424,453,489,545,492,517,546,668,574,7849
23,Mato Grosso do Sul,MS,50,28,132,266,217,279,238,279,282,325,232,300,337,316,358,384,398,400,556,561,528,6416
24,Mato Grosso,MT,51,110,353,389,406,480,543,489,508,479,660,587,701,928,863,566,622,698,685,688,617,11372
25,Goiás,GO,52,-,13,211,271,363,367,378,426,455,453,476,470,512,486,540,484,589,619,593,577,8283
26,Distrito Federal,DF,53,26,232,214,219,225,244,272,209,173,186,212,252,226,234,227,225,201,237,205,160,4179
