,Estado,Sigla,Código do Estado,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
0,Rondônia,RO,11,-,27,46,28,54,35,30,36,45,56,51,54,42,39,40,52,54,42,53,34,818
1,Acre,AC,12,17,17,22,24,16,18,13,15,12,10,22,18,27,28,12,34,30,27,24,42,428
2,Amazonas,AM,13,1,3,81,99,64,70,78,92,88,85,71,70,100,105,96,73,94,96,98,68,1532
3,Roraima,RR,14,11,15,10,11,7,8,6,6,8,5,5,3,3,5,6,10,7,12,11,10,159
4,Pará,PA,15,94,159,217,260,272,266,266,265,279,292,304,281,289,282,256,286,293,273,363,341,5338
5,Amapá,AP,16,8,17,11,14,17,14,19,17,22,11,15,19,22,18,20,18,26,41,35,28,392
6,Tocantins,TO,17,21,25,25,20,19,19,23,22,16,26,14,12,13,19,13,12,19,16,20,20,374
7,Maranhão,MA,21,16,258,367,377,337,377,363,313,347,269,310,242,250,199,232,234,219,277,247,248,5482
8,Piauí,PI,22,3,18,98,143,122,124,145,114,138,140,123,84,89,76,69,77,65,79,83,81,1871
9,Ceará,CE,23,4,12,221,291,305,322,314,317,295,274,269,255,229,198,195,229,203,235,215,184,4567
10,Rio Grande do Norte,RN,24,-,4,89,108,118,92,72,91,89,71,78,83,99,70,64,75,83,93,94,100,1573
11,Paraíba,PB,25,57,70,88,118,141,112,80,85,84,87,85,74,94,79,59,49,54,77,53,66,1612
12,Pernambuco,PE,26,3,159,414,452,444,438,475,493,482,432,467,488,439,418,434,395,465,447,480,397,8222
13,Alagoas,AL,27,18,103,103,74,84,104,135,136,132,144,106,114,141,153,110,124,110,115,101,93,2200
14,Sergipe,SE,28,39,48,63,72,78,74,70,86,74,63,68,59,87,67,67,74,86,107,101,114,1497
15,Bahia,BA,29,9,476,1218,1190,1118,1375,1284,1309,1232,1132,1143,1001,935,911,805,850,831,941,960,763,19483
16,Minas Gerais,MG,31,80,746,868,872,806,743,777,771,724,647,697,623,596,591,626,563,614,637,661,584,13226
17,Espírito Santo,ES,32,51,155,177,180,198,199,196,247,232,216,202,231,189,180,161,145,142,172,149,152,3574
18,Rio de Janeiro,RJ,33,144,777,1927,2527,2375,2087,2132,2098,2252,2135,2160,2211,1934,1916,1925,2041,2201,2308,2296,2061,39507
19,São Paulo,SP,35,1,12,15,23,61,412,606,956,1345,1532,1691,1695,1654,1707,1792,1755,1856,1960,1958,1807,22838
20,Paraná,PR,41,10,28,160,198,197,165,176,169,169,189,174,154,138,169,146,131,136,141,158,165,2973
21,Santa Catarina,SC,42,6,79,114,121,105,114,105,113,123,145,158,150,136,162,159,148,160,148,141,120,2507
22,Rio Grande do Sul,RS,43,223,787,799,763,727,618,671,724,810,759,757,763,719,757,732,698,735,773,833,678,14326
23,Mato Grosso do Sul,MS,50,3,46,58,70,64,54,59,79,62,54,73,79,69,58,52,60,55,91,87,69,1242
24,Mato Grosso,MT,51,27,138,150,109,150,140,141,174,151,150,171,200,222,168,102,119,124,131,153,130,2850
25,Goiás,GO,52,-,7,80,87,75,79,86,75,83,87,72,79,93,87,80,95,82,98,87,82,1514
26,Distrito Federal,DF,53,4,59,71,83,55,71,62,55,57,50,36,42,41,49,49,52,36,45,44,43,1004
28,,,Total,850,4245,7492,8314,8009,8130,8384,8858,9351,9061,9322,9084,8650,8511,8302,8399,8780,9382,9506,8480,161110
