Estado;Código do Estado;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
Rondônia;11;674;639;651;628;630;519;548;564;680;572;685;692;711;686;665;775;781;674;738;604;13116
Acre;12;364;368;368;356;329;391;314;314;364;347;392;409;406;462;361;450;490;484;589;606;8164
Amazonas;13;2334;2286;2375;2559;2477;2432;2461;2688;2606;2764;2686;2842;3060;3143;3404;3259;3683;3787;3937;3537;58320
Roraima;14;150;172;206;218;155;147;137;155;145;152;171;137;167;148;174;160;211;270;323;333;3731
Pará;15;3517;3785;3940;4089;3975;3789;3763;3790;4106;4104;4334;4048;4119;3940;3991;4224;4522;4677;5523;4917;83153
Amapá;16;223;296;273;275;274;245;273;266;253;221;259;253;220;211;225;287;286;273;349;325;5287
Tocantins;17;320;333;284;260;253;256;231;207;223;216;215;185;194;186;193;210;184;224;231;207;4612
Maranhão;21;2901;3043;2980;2974;3179;2883;2780;2464;2462;2414;2505;2185;2278;2111;2238;2442;2466;2643;2667;2510;52125
Piauí;22;1568;1519;1448;1563;1551;1306;1357;1224;1108;994;1002;921;908;813;754;812;785;879;868;757;22137
Ceará;23;4240;4385;4586;4461;4656;4140;4161;4473;4664;4315;4398;4236;4052;3879;4012;4045;4287;4557;4541;3809;85897
Rio Grande do Norte;24;1158;1179;1354;1373;1356;1163;1112;1211;1185;1109;1269;1208;1273;1187;1156;1182;1353;1625;1418;1647;25518
Paraíba;25;1369;1395;1465;1508;1482;1122;1182;1324;1320;1327;1413;1426;1429;1312;1250;1215;1348;1523;1458;1133;27001
Pernambuco;26;4542;4870;5153;5451;5319;4898;4835;4995;5028;5175;5390;5696;5420;5443;5649;5513;5978;5925;6151;5511;106942
Alagoas;27;1332;1351;1426;1422;1507;1356;1380;1408;1448;1368;1327;1358;1324;1245;1068;1236;1263;1340;1284;1042;26485
Sergipe;28;557;599;664;634;834;697;593;695;686;630;669;617;710;788;771;800;833;979;1021;870;14647
Bahia;29;7935;7853;8435;8212;7937;7148;6734;6667;6971;6521;6412;6082;5679;5612;5304;5300;5490;5663;5650;4603;130208
Minas Gerais;31;1331;5886;5982;6086;5926;5369;5311;5188;4851;4443;4626;4257;4200;4193;4055;4073;4055;4218;4350;3981;92381
Espírito Santo;32;1658;1569;1563;1529;1448;1353;1432;1537;1427;1478;1450;1461;1384;1314;1395;1238;1325;1484;1506;1771;29322
Rio de Janeiro;33;16976;16789;16130;15832;15325;14200;14206;14676;14390;14241;14331;14018;13349;13095;13367;13645;13929;14814;14967;13391;291671
São Paulo;35;19775;19807;19202;18584;18428;18059;17643;18452;17828;18213;19083;18676;19530;19976;20376;20587;22117;22257;22025;19656;390274
Paraná;41;3224;3436;3454;3294;3418;2832;3059;2991;2808;2770;2722;2534;2650;2554;2466;2436;2409;2726;2668;2588;57039
Santa Catarina;42;1695;1873;1903;1870;1837;1820;1866;2022;2002;2070;2218;2229;2268;2248;2180;2199;2232;2275;2255;1696;40758
Rio Grande do Sul;43;5231;5509;5786;5906;5661;5155;5496;5687;6100;6180;6360;6405;6348;6372;6380;6043;6594;6866;7530;6544;122153
Mato Grosso do Sul;50;980;914;1022;1034;1053;882;963;1019;1044;943;1047;1091;1098;998;1003;1130;1144;1456;1415;1341;21577
Mato Grosso;51;1425;1248;1267;1148;1344;1310;1170;1280;1158;1368;1371;1605;1886;1794;1442;1456;1428;1413;1531;1279;27923
Goiás;52;1148;1149;1242;1089;1081;976;959;953;1012;1016;989;1058;1072;991;1095;1027;1166;1212;1176;1097;21508
Distrito Federal;53;638;606;614;625;621;583;634;518;449;430;489;554;473;512;478;463;417;476;483;411;10474
;Total;87265;92859;93773;92980;92056;85031;84600;86768;86318;85381;87813;86183;86208;85213;85452;86207;90776;94720;96655;86166;1772424
