Estado;Sigla;Código do Estado;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019; Total
Rondônia;RO;11;2.9499999999999997;2.63;2.5;2.1999999999999997;2.2800000000000002;2.18;2.0;1.97;1.8900000000000001;1.73;1.76;1.7399999999999998;1.7000000000000002;1.67;1.66;1.63;1.55;1.44;1.39;613634
Acre;AC;12;5.27;4.73;4.91;3.93;3.8699999999999997;3.4799999999999995;3.7699999999999996;3.3000000000000003;3.02;2.9899999999999998;2.73;2.41;2.44;2.22;2.29;2.11;2.01;1.8599999999999999;1.7999999999999998;428546
Amazonas;AM;13;4.74;5.04;4.7;3.2;3.42;3.1199999999999997;3.04;2.82;2.77;2.6100000000000003;2.56;2.64;2.36;2.41;2.21;1.96;1.9;1.8399999999999999;1.77;1990480
Roraima;RR;14;5.5;5.12;5.18;4.92;5.71;4.09;2.64;2.54;2.34;2.37;2.4299999999999997;2.44;1.92;2.23;2.36;2.34;2.5;2.6599999999999997;2.26;281485
Pará;PA;15;4.569999999999999;4.87;4.75;3.6900000000000004;4.4799999999999995;3.7800000000000002;3.38;2.8899999999999997;2.67;2.4699999999999998;2.33;2.17;2.08;1.9900000000000002;1.6500000000000001;1.46;1.53;1.46;1.3599999999999999;4035613
Amapá;AP;16;8.5;4.2700000000000005;3.84;3.36;3.2199999999999998;3.08;2.94;3.02;2.8000000000000003;2.55;2.4;2.22;2.32;2.23;2.48;2.3800000000000003;2.03;2.06;1.97;383215
Tocantins;TO;17;5.64;5.17;5.43;4.46;4.73;3.35;2.46;2.12;2.0;1.81;1.97;1.91;1.51;1.67;1.7500000000000002;1.7000000000000002;1.79;1.6400000000000001;1.81;739317
Maranhão;MA;21;4.52;4.44;4.67;4.42;4.88;3.94;3.42;2.92;2.71;2.42;2.32;2.1;1.97;1.83;1.73;1.5699999999999998;1.83;1.68;1.35;3562402
Piauí;PI;22;3.54;3.49;3.2199999999999998;2.91;2.59;2.2399999999999998;2.0500000000000003;1.82;1.71;1.67;1.6400000000000001;1.58;1.49;1.44;1.28;1.29;1.47;1.47;1.27;1228646
Ceará;CE;23;3.3000000000000003;3.1300000000000003;3.2800000000000002;3.0300000000000002;3.2300000000000004;2.26;2.04;1.76;1.71;1.7000000000000002;1.67;1.6;1.5699999999999998;1.53;1.6;1.5599999999999998;1.59;1.48;1.21;3383878
Rio Grande do Norte;RN;24;2.34;2.5100000000000002;2.4;2.15;2.1;1.94;1.8599999999999999;1.76;1.72;1.7500000000000002;1.78;1.7000000000000002;1.52;1.47;1.4000000000000001;1.21;0.8999999999999999;1.39;1.13;1089571
Paraíba;PB;25;2.52;2.36;2.4299999999999997;2.35;2.55;2.29;2.29;2.0500000000000003;1.92;1.76;1.79;1.73;1.6;1.59;1.47;1.4000000000000001;1.47;1.5;1.3599999999999999;1415400
Pernambuco;PE;26;4.54;3.6900000000000004;3.38;3.19;3.47;2.71;2.08;1.91;1.8599999999999999;1.76;1.7999999999999998;1.71;1.6099999999999999;1.6400000000000001;1.6500000000000001;1.51;1.49;1.49;1.31;3871886
